time,time_change,time,time_change,h,F,buoyancy,Fv(N),x/d,y/d,Cfr,Cfv
46.529,29.235,46.529,29.235,50.765,1.899932319,0.328736255,1.571196063,0,0.769125,0,0.62515905
46.524,29.23,46.524,29.23,50.77,1.89969754,0.328736255,1.570961285,0,0.76925,0,0.625065635
46.519,29.225,46.519,29.225,50.775,1.899470926,0.328736255,1.570734671,0,0.769375,0,0.624975468
46.514,29.22,46.514,29.22,50.78,1.899467772,0.328736255,1.570731517,0,0.7695,0,0.624974213
46.509,29.215,46.509,29.215,50.785,1.898961245,0.328736255,1.57022499,0,0.769625,0,0.624772672
46.504,29.21,46.504,29.21,50.79,1.898513826,0.328736255,1.569777571,0,0.76975,0,0.62459465
46.499,29.205,46.499,29.205,50.795,1.898014297,0.328736255,1.569278041,0,0.769875,0,0.624395893
46.494,29.2,46.494,29.2,50.8,1.897728479,0.328736255,1.568992224,0,0.77,0,0.62428217
46.489,29.195,46.489,29.195,50.805,1.897685321,0.328736255,1.568949066,0,0.770125,0,0.624264998
46.484,29.19,46.484,29.19,50.81,1.897941079,0.328736255,1.569204824,0,0.77025,0,0.624366761
46.479,29.185,46.479,29.185,50.815,1.898258243,0.328736255,1.569521988,0,0.770375,0,0.624492957
46.474,29.18,46.474,29.18,50.82,1.898804105,0.328736255,1.57006785,0,0.7705,0,0.624710148
46.469,29.175,46.469,29.175,50.825,1.899212958,0.328736255,1.570476703,0,0.770625,0,0.624872826
46.464,29.17,46.464,29.17,50.83,1.898646115,0.328736255,1.56990986,0,0.77075,0,0.624647286
46.459,29.165,46.459,29.165,50.835,1.896559216,0.328736255,1.56782296,0,0.770875,0,0.623816935
46.454,29.16,46.454,29.16,50.84,1.893446564,0.328736255,1.564710309,0,0.771,0,0.62257845
46.449,29.155,46.449,29.155,50.845,1.891406141,0.328736255,1.562669886,0,0.771125,0,0.621766592
46.444,29.15,46.444,29.15,50.85,1.893638816,0.328736255,1.564902561,0,0.77125,0,0.622654945
